"Key","SourceString"
"FFr_45D4C828.DisplayName","Untitled flow fragment"
"FFr_45D4C828.Text","1. Player can side with grancis"
"FFr_D1A14341.DisplayName","Untitled flow fragment"
"FFr_D1A14341.Text","3. Player can be apologetic and proceed."
"FFr_874ADFAB.DisplayName","Untitled flow fragment"
"FFr_874ADFAB.Text","2. Player can ask about the philosophy and its nature"
"FFr_E372E33B.DisplayName","Untitled flow fragment (03)"
"FFr_E372E33B.Text","Goctor admits that Grancis spoke to caldaria for the first time under the sacred shrooms. Only detail he left out"
"FFr_8C077595.DisplayName","Untitled flow fragment (03)"
"FFr_8C077595.Text","2. Player can press him for more information"
"FFr_EAA9D127.DisplayName","Untitled flow fragment (03)"
"FFr_EAA9D127.Text","1. Why did you lie to me?"
"FFr_97CD8500.DisplayName","Untitled flow fragment (03)"
"FFr_97CD8500.Text","3. Player can proceed by asking about the war?"
"FFr_8AD7803D.DisplayName","Untitled flow fragment (03)"
"FFr_8AD7803D.Text","Goctor says Grancis dissapeared for years, he came back and formed caldarianism at the well."
"FFr_3ED6599B.DisplayName","Untitled flow fragment (03)"
"FFr_3ED6599B.Text","1. Player asks what he saw there?"
"FFr_5E31AD03.DisplayName","Untitled flow fragment (03)"
"FFr_5E31AD03.Text","Goctor says he does not remember much the visions were so powerful"
"FFr_B5120C02.DisplayName","Untitled flow fragment (03)"
"FFr_B5120C02.Text","Possible branch from speaking to Gailor first?"
"FFr_CF4DB2C1.DisplayName","Untitled flow fragment (03)"
"FFr_CF4DB2C1.Text","2. Why did Galia join him."
"FFr_58227557.DisplayName","Untitled flow fragment (03)"
"FFr_58227557.Text","2. Why did Galia join him."
"FFr_1AB627A1.DisplayName","Untitled flow fragment (03)"
"FFr_1AB627A1.Text","Goctor explains galia always believed in something greater than us. She had finally found someone who could pass on those visions."
"FFr_B06EF83D.DisplayName","Untitled flow fragment (03)"
"FFr_B06EF83D.Text","She tried to instill peace and was an excellent preacher, she always tried to make Grancis less violent. but we were at war."
"FFr_4AE27DD0.DisplayName","Untitled flow fragment (03)"
"FFr_4AE27DD0.Text","1. Player can insult galia"
"FFr_814A0C29.DisplayName","Untitled flow fragment (03)"
"FFr_814A0C29.Text","2. Player can empathise with galias tough spot"
"FFr_B3B0B800.DisplayName","Untitled flow fragment (03)"
"FFr_B3B0B800.Text","3. Why did she not tell guncle?"
